ID	Planta	Fecha	Riego	Nombre técnico	Origen	Ubicacion
1	Jazmin del cielo	11/4/21	No	Plumbago auriculata	África 	Exterior
1	Jazmin del cielo	11/5/21	No			
1	Jazmin del cielo	11/6/21	Si			
1	Jazmin del cielo	11/7/21	No			
1	Jazmin del cielo	11/8/21	No			
1	Jazmin del cielo	11/9/21	Si			
1	Jazmin del cielo	11/10/21	No			
1	Jazmin del cielo	11/11/21	No			
1	Jazmin del cielo	11/12/21	No			
1	Jazmin del cielo	11/13/21	Si			
1	Jazmin del cielo	11/14/21	No			
1	Jazmin del cielo	11/15/21	No			
1	Jazmin del cielo	11/16/21	No			
1	Jazmin del cielo	11/17/21	Si			
1	Jazmin del cielo	11/18/21	No			
1	Jazmin del cielo	11/19/21	No			
1	Jazmin del cielo	11/20/21	Si			
1	Jazmin del cielo	11/21/21	No			
1	Jazmin del cielo	11/22/21	Si			
1	Jazmin del cielo	11/23/21	No			
1	Jazmin del cielo	11/24/21	Si			
2	Jazmin de leche	11/4/21	No	Trachelospermum jasminoides	Asia	Exterior
2	Jazmin de leche	11/5/21	No			
2	Jazmin de leche	11/6/21	Si			
2	Jazmin de leche	11/7/21	No			
2	Jazmin de leche	11/8/21	No			
2	Jazmin de leche	11/9/21	Si			
2	Jazmin de leche	11/10/21	No			
2	Jazmin de leche	11/11/21	No			
2	Jazmin de leche	11/12/21	No			
2	Jazmin de leche	11/13/21	Si			
2	Jazmin de leche	11/14/21	No			
2	Jazmin de leche	11/15/21	No			
2	Jazmin de leche	11/16/21	No			
2	Jazmin de leche	11/17/21	Si			
2	Jazmin de leche	11/18/21	No			
2	Jazmin de leche	11/19/21	No			
2	Jazmin de leche	11/20/21	Si			
2	Jazmin de leche	11/21/21	No			
2	Jazmin de leche	11/22/21	Si			
2	Jazmin de leche	11/23/21	No			
2	Jazmin de leche	11/24/21	No			
3	Santa Riita	11/4/21	No	Bougainvillea glabra	Brasil	Exterior
3	Santa Riita	11/5/21	No			
3	Santa Riita	11/6/21	Si			
3	Santa Riita	11/7/21	No			
3	Santa Riita	11/8/21	No			
3	Santa Riita	11/9/21	Si			
3	Santa Riita	11/10/21	No			
3	Santa Riita	11/11/21	No			
3	Santa Riita	11/12/21	No			
3	Santa Riita	11/13/21	Si			
3	Santa Riita	11/14/21	No			
3	Santa Riita	11/15/21	No			
3	Santa Riita	11/16/21	No			
3	Santa Riita	11/17/21	Si			
3	Santa Riita	11/18/21	No			
3	Santa Riita	11/19/21	No			
3	Santa Riita	11/20/21	Si			
3	Santa Riita	11/21/21	No			
3	Santa Riita	11/22/21	Si			
3	Santa Riita	11/23/21	No			
3	Santa Riita	11/24/21	No			
4	Laurel	11/4/21	No	Nerium oleander	Mediterráneo	Exterior
4	Laurel	11/5/21	No			
4	Laurel	11/6/21	Si			
4	Laurel	11/7/21	No			
4	Laurel	11/8/21	No			
4	Laurel	11/9/21	Si			
4	Laurel	11/10/21	No			
4	Laurel	11/11/21	No			
4	Laurel	11/12/21	No			
4	Laurel	11/13/21	Si			
4	Laurel	11/14/21	No			
4	Laurel	11/15/21	No			
4	Laurel	11/16/21	No			
4	Laurel	11/17/21	Si			
4	Laurel	11/18/21	No			
4	Laurel	11/19/21	No			
4	Laurel	11/20/21	Si			
4	Laurel	11/21/21	No			
4	Laurel	11/22/21	Si			
4	Laurel	11/23/21	No			
4	Laurel	11/24/21	No			
5	Purpurea	11/4/21	Si	Tradescantia Pallida	Centroamérica	Exterior
5	Purpurea	11/5/21	No			
5	Purpurea	11/6/21	No			
5	Purpurea	11/7/21	Si			
5	Purpurea	11/8/21	No			
5	Purpurea	11/9/21	No			
5	Purpurea	11/10/21	No			
5	Purpurea	11/11/21	No			
5	Purpurea	11/12/21	No			
5	Purpurea	11/13/21	Si			
5	Purpurea	11/14/21	No			
5	Purpurea	11/15/21	No			
5	Purpurea	11/16/21	No			
5	Purpurea	11/17/21	Si			
5	Purpurea	11/18/21	No			
5	Purpurea	11/19/21	No			
5	Purpurea	11/20/21	Si			
5	Purpurea	11/21/21	No			
5	Purpurea	11/22/21	No			
5	Purpurea	11/23/21	No			
5	Purpurea	11/24/21	No			
6	Sansevieria	11/4/21	No	Sansevieria Hahnii	África	Exterior
6	Sansevieria	11/5/21	No			
6	Sansevieria	11/6/21	No			
6	Sansevieria	11/7/21	Si			
6	Sansevieria	11/8/21	No			
6	Sansevieria	11/9/21	No			
6	Sansevieria	11/10/21	No			
6	Sansevieria	11/11/21	No			
6	Sansevieria	11/12/21	No			
6	Sansevieria	11/13/21	No			
6	Sansevieria	11/14/21	Si			
6	Sansevieria	11/15/21	No			
6	Sansevieria	11/16/21	No			
6	Sansevieria	11/17/21	No			
6	Sansevieria	11/18/21	No			
6	Sansevieria	11/19/21	No			
6	Sansevieria	11/20/21	Si			
6	Sansevieria	11/21/21	No			
6	Sansevieria	11/22/21	No			
6	Sansevieria	11/23/21	No			
6	Sansevieria	11/24/21	No			
7	Dieffenbachia	11/4/21	No	Dieffenbachia	Centroamérica	Interior
7	Dieffenbachia	11/5/21	No			
7	Dieffenbachia	11/6/21	No			
7	Dieffenbachia	11/7/21	Si			
7	Dieffenbachia	11/8/21	No			
7	Dieffenbachia	11/9/21	No			
7	Dieffenbachia	11/10/21	No			
7	Dieffenbachia	11/11/21	No			
7	Dieffenbachia	11/12/21	No			
7	Dieffenbachia	11/13/21	Si			
7	Dieffenbachia	11/14/21	No			
7	Dieffenbachia	11/15/21	No			
7	Dieffenbachia	11/16/21	No			
7	Dieffenbachia	11/17/21	No			
7	Dieffenbachia	11/18/21	No			
7	Dieffenbachia	11/19/21	Si			
7	Dieffenbachia	11/20/21	No			
